task1_id,task1_name,task2_id,task2_name,similarity,auto_approve_candidate
dad934e1-d029-48c6-89ed-955aa56dc7be,Lock file maintenance,jfp0KqhcRWaCUyo_nsKtEQ,Lock file maintenance,1.000000000000001,True
ca58d5a8-cf82-460b-8365-937867b63fb2,Bump the npm-deps group across 1 directory with 12 updates,af5ec712-9761-42cf-990f-b74255c066ab,Bump the npm-deps group across 1 directory with 12 updates,1.0000000000000009,True
XTkKd4YcTbSB6yN6l6Z0fQ,chore(deps): lock file maintenance,XxCjClVVRQuqqKlnVqBgyg,chore(deps): lock file maintenance,1.0000000000000004,True
W_gRcj30QVya2Uh-BXrtAQ,chore(deps): update all dependencies,D4USlx_PRWW3B9O4mIrU6w,chore(deps): update all dependencies,1.0000000000000004,True
Bpp8cgxtTq-dfYvgaqLNKw,"Bump the ""all-deps"" group with 2 updates across multiple ecosystems",Z8ZOH3l6QEK5XCLzrGHVHg,"Bump the ""all-deps"" group with 2 updates across multiple ecosystems",1.0000000000000004,True
1cMFpBMFQl63ipQP4AcNLw,Enable playwright caching,f66KK6jBSmqTVVMqhsmCag,Enable playwright caching,1.0000000000000004,True
37d4df42-eb68-49b0-a253-b302146c2099,Update all dependencies,586642d0-0a16-41b6-a09f-09bdf3ac1a0c,Update all dependencies,1.0000000000000002,True
mVIaDkxXSfqhdKz9FPel0Q,Configure Renovate - autoclosed,zOLSPKSkQcGA6mT17Hx16g,Configure Renovate - autoclosed,0.9999999999999994,True
VAlpHuOPQmKfQaPpAmh6RQ,fix(deps): update all dependencies,VtlqHDHYSfiMhWQxHacU4g,fix(deps): update all dependencies,0.9999999999999987,True
561f0a3b-24e4-4f88-9242-0dee6a9b2bbb,Bump the cargo-deps group across 1 directory with 2 updates,200e6799-2092-490d-9f32-fb6f0e6f2926,Bump the cargo-deps group across 1 directory with 2 updates,0.9999994916035112,True
c2d5fc78-f66b-4dd1-90db-4870b9dc8568,Bump the docker-deps group with 2 updates,2a6bbe3b-ee4a-40cb-ba4a-f96023ad6448,Bump the docker-deps group with 2 updates,0.9999994848920307,True
3df6267f-fdf1-45c7-b923-7bc051e2e3af,koso-902: Stop using deprecated stores,d36d7170-0b9a-4be2-8ca8-04b8ad310213,koso-902: Stop using deprecated stores,0.9999994448784857,True
7aa5df9a-a14c-468d-9e78-9f5a82afdb70,Fix staggered spacing when task name wraps,e371e86c-4444-4895-a625-f34961b11b90,Fix staggered spacing when task name wraps,0.9999994257488587,True
3b4dae75-a7a5-4009-93d3-5a8c5509b8e9,Fix dialog box not triggering onSelect when clicking outside,ef6807b5-7ee2-405c-80df-7829adf41b68,Fix dialog box not triggering onSelect when clicking outside,0.9999993742940567,True
e1a1b495-72ea-4fc5-929a-ca45e91ccfe9,Experiment,9c01f863-80d8-40f4-8c52-3375944c23f3,Experiment,0.9999993707656585,True
d16f5c35-1f2f-4653-a9fa-2109fd2fb9c2,Upgrade bits-ui,f9d0acab-dd91-4c50-95f6-36c37070d8aa,Upgrade bits-ui,0.9999993588831066,True
Csgu2P8RQUSTF72CbiHDWA,Try a different environment variable name for publishing,OnIVWw5sTkaOVP_ruBVDvA,Try a different environment variable name for publishing,0.9999993417399247,True
cf99b071-4f74-494b-9650-2c697b5732a3,Bump vite from 6.2.5 to 6.2.6 in /frontend in the npm_and_yarn group across 1 directory,77360dfd-3ccb-4495-a59f-e69a1de30a10,Bump vite from 6.2.4 to 6.2.5 in /frontend in the npm_and_yarn group across 1 directory,0.993421894993627,True
28529219-28d2-41b7-86ae-05eda8f9ff9a,Bump the cargo-deps group across 1 directory with 4 updates,a4d4016e-52b7-4366-b7b0-58d6c6155e93,Bump the cargo-deps group across 2 directories with 4 updates,0.9851318763856052,True
561f0a3b-24e4-4f88-9242-0dee6a9b2bbb,Bump the cargo-deps group across 1 directory with 2 updates,78f7c43c-6006-4e0f-82d7-a61023ee8786,Bump the cargo-deps group across 2 directories with 1 update,0.9831269455183497,True
189e5a98-4372-4cf8-a766-18251faeec01,Bump the npm-deps group across 2 directories with 6 updates,b4379e33-29f5-4144-94ed-6f82ce4d9cb5,Bump the npm-deps group across 1 directory with 6 updates,0.9814166532487462,True
ca58d5a8-cf82-460b-8365-937867b63fb2,Bump the npm-deps group across 1 directory with 12 updates,e4d73ce7-2ba7-4c96-9ba5-ddbf73bdd7b6,Bump the npm-deps group across 1 directory with 13 updates,0.9813025665291827,True
5bfd8f3a-df0a-4afc-ae02-e253f9f03cbb,Contextify Auth,aede7044-deea-48e3-bdb2-57b45a7cbba5,Contextify auth,0.9741494833633473,True
189e5a98-4372-4cf8-a766-18251faeec01,Bump the npm-deps group across 2 directories with 6 updates,8f3c2dc7-7f17-414f-833a-e39b29be4cd5,Bump the npm-deps group across 2 directories with 7 updates,0.9716172910493107,True
cf99b071-4f74-494b-9650-2c697b5732a3,Bump vite from 6.2.5 to 6.2.6 in /frontend in the npm_and_yarn group across 1 directory,fb5eecda-ee3f-49dd-9669-aa7d1a35eb7c,Bump vite from 6.3.2 to 6.3.4 in /frontend in the npm_and_yarn group across 1 directory,0.9714067487679838,True
ec7518b8-8cf3-40c1-9466-77f45feee4c8,Add a tooltip for managed tasks,a6b6d81d-37c6-4f5a-9b25-0ccc5c0c7417,Add tooltip for managed tasks,0.9712035619047735,True
77360dfd-3ccb-4495-a59f-e69a1de30a10,Bump vite from 6.2.4 to 6.2.5 in /frontend in the npm_and_yarn group across 1 directory,fb5eecda-ee3f-49dd-9669-aa7d1a35eb7c,Bump vite from 6.3.2 to 6.3.4 in /frontend in the npm_and_yarn group across 1 directory,0.9702425258655749,True
d10e5502-6d0c-48bc-b160-dfea07ea1c14,Update dependency vite to v6.2.5 [SECURITY],06a0671c-b7b9-448a-aff7-badcf5beee5d,Update dependency vite to v6.3.4 [SECURITY],0.9671471851116706,True
189e5a98-4372-4cf8-a766-18251faeec01,Bump the npm-deps group across 2 directories with 6 updates,994eb415-f015-41f3-b196-5af5a2d4b1c2,Bump the npm-deps group across 2 directories with 4 updates,0.966986914835311,True
e4d73ce7-2ba7-4c96-9ba5-ddbf73bdd7b6,Bump the npm-deps group across 1 directory with 13 updates,c0cfc982-eee7-4170-ad05-24ca4a288a70,Bump the npm-deps group across 1 directory with 3 updates,0.965399750825616,True
c0188fa6-0cd7-4847-92f8-6cefaafac398,koso-895: Fix task deep links,f3511888-3493-498b-9e2d-8da64d5edc4b,koso-895: Really fix task deep links,0.9647421715973501,True
27b70e08-01a9-4af9-bed5-0cc810fdb2e4,Bump openssl from 0.10.71 to 0.10.72 in the cargo group across 1 directory,0f97e324-02c5-4e39-88e8-01fbfb989899,Bump openssl from 0.10.68 to 0.10.70 in the cargo group across 1 directory,0.9639091157731927,True
ca58d5a8-cf82-460b-8365-937867b63fb2,Bump the npm-deps group across 1 directory with 12 updates,c0cfc982-eee7-4170-ad05-24ca4a288a70,Bump the npm-deps group across 1 directory with 3 updates,0.9600118551049565,True
4a95b9a3-f4c8-497a-9c74-05c3a6265b8a,Bump the github-actions-deps group with 3 updates,16f1aa16-0f3d-470d-b454-d7f513fb99fe,Bump the github-actions-deps group with 2 updates,0.9599483263521598,True
8f3c2dc7-7f17-414f-833a-e39b29be4cd5,Bump the npm-deps group across 2 directories with 7 updates,994eb415-f015-41f3-b196-5af5a2d4b1c2,Bump the npm-deps group across 2 directories with 4 updates,0.9547457319155322,True
fe4e41bd-7c49-4d8f-9478-c44fa680bdb6,Closing the Link panel clears the filter text,1608f573-e81a-40c0-a833-0cf995d20590,Closing the link panel should clear the filter text,0.9539626800486951,True
b4379e33-29f5-4144-94ed-6f82ce4d9cb5,Bump the npm-deps group across 1 directory with 6 updates,8f3c2dc7-7f17-414f-833a-e39b29be4cd5,Bump the npm-deps group across 2 directories with 7 updates,0.9534099461018589,True
c2d5fc78-f66b-4dd1-90db-4870b9dc8568,Bump the docker-deps group with 2 updates,52802b3d-01c3-4b2d-ba76-410ce389099b,Bump the docker-deps group with 3 updates,0.9511721353628939,True
b4379e33-29f5-4144-94ed-6f82ce4d9cb5,Bump the npm-deps group across 1 directory with 6 updates,994eb415-f015-41f3-b196-5af5a2d4b1c2,Bump the npm-deps group across 2 directories with 4 updates,0.9437165985919639,False
4a95b9a3-f4c8-497a-9c74-05c3a6265b8a,Bump the github-actions-deps group with 3 updates,2dca0799-7198-42f3-ac6c-66e5f0c55036,Bump the github-actions-deps group with 5 updates,0.9422490999639133,False
MIeZQyTTSv-2u_xNRIJiOQ,Update dependency @sveltejs/kit to v2.20.6 [SECURITY] - autoclosed,c375c467-6876-4985-90aa-b039d7df7afd,Update dependency @sveltejs/kit to v2.20.6 [SECURITY],0.9384285089093727,False
16f1aa16-0f3d-470d-b454-d7f513fb99fe,Bump the github-actions-deps group with 2 updates,2dca0799-7198-42f3-ac6c-66e5f0c55036,Bump the github-actions-deps group with 5 updates,0.9339174958524473,False
